Дата,Цена
2021-10-04 00:00:00+00:00,1465.0
2021-10-11 00:00:00+00:00,1495.0
2021-10-18 00:00:00+00:00,1546.0
2021-10-25 00:00:00+00:00,1461.2
2021-11-01 00:00:00+00:00,1438.0
2021-11-08 00:00:00+00:00,1403.0
2021-11-15 00:00:00+00:00,1325.8
2021-11-22 00:00:00+00:00,1206.8
2021-11-29 00:00:00+00:00,1240.8
2021-12-06 00:00:00+00:00,986.6
2021-12-13 00:00:00+00:00,962.0
2021-12-20 00:00:00+00:00,877.0
2021-12-27 00:00:00+00:00,872.4
2022-01-03 00:00:00+00:00,793.0
2022-01-10 00:00:00+00:00,686.4
2022-01-17 00:00:00+00:00,645.8
2022-01-24 00:00:00+00:00,597.0
2022-01-31 00:00:00+00:00,580.8
2022-02-07 00:00:00+00:00,584.8
2022-02-14 00:00:00+00:00,559.2
2022-02-21 00:00:00+00:00,296.0
2022-03-28 00:00:00+00:00,556.2
2022-04-04 00:00:00+00:00,497.8
2022-04-11 00:00:00+00:00,422.6
2022-04-18 00:00:00+00:00,416.8
2022-04-25 00:00:00+00:00,399.0
2022-05-02 00:00:00+00:00,374.6
2022-05-09 00:00:00+00:00,339.0
2022-05-16 00:00:00+00:00,350.2
2022-05-23 00:00:00+00:00,347.0
2022-05-30 00:00:00+00:00,307.8
2022-06-06 00:00:00+00:00,280.0
2022-06-13 00:00:00+00:00,308.0
2022-06-20 00:00:00+00:00,302.8
2022-06-27 00:00:00+00:00,303.0
2022-07-04 00:00:00+00:00,328.8
2022-07-11 00:00:00+00:00,307.6
2022-07-18 00:00:00+00:00,318.2
2022-07-25 00:00:00+00:00,409.0
2022-08-01 00:00:00+00:00,387.6
2022-08-08 00:00:00+00:00,418.0
2022-08-15 00:00:00+00:00,414.4
2022-08-22 00:00:00+00:00,436.8
2022-08-29 00:00:00+00:00,419.6
2022-09-05 00:00:00+00:00,437.0
2022-09-12 00:00:00+00:00,510.0
2022-09-19 00:00:00+00:00,419.8
2022-09-26 00:00:00+00:00,363.2
2022-10-03 00:00:00+00:00,360.8
2022-10-10 00:00:00+00:00,439.0
2022-10-17 00:00:00+00:00,440.6
2022-10-24 00:00:00+00:00,446.4
2022-10-31 00:00:00+00:00,455.4
2022-11-07 00:00:00+00:00,499.8
2022-11-14 00:00:00+00:00,502.4
2022-11-21 00:00:00+00:00,498.8
2022-11-28 00:00:00+00:00,496.6
2022-12-05 00:00:00+00:00,471.2
2022-12-12 00:00:00+00:00,442.6
2022-12-19 00:00:00+00:00,451.0
2022-12-26 00:00:00+00:00,437.0
2023-01-02 00:00:00+00:00,446.6
2023-01-09 00:00:00+00:00,473.4
2023-01-16 00:00:00+00:00,468.2
2023-01-23 00:00:00+00:00,475.0
2023-01-30 00:00:00+00:00,485.2
2023-02-06 00:00:00+00:00,481.0
2023-02-13 00:00:00+00:00,456.4
2023-02-20 00:00:00+00:00,473.4
2023-02-27 00:00:00+00:00,479.8
2023-03-06 00:00:00+00:00,485.6
2023-03-13 00:00:00+00:00,482.4
2023-03-20 00:00:00+00:00,478.8
2023-03-27 00:00:00+00:00,480.8
2023-04-03 00:00:00+00:00,461.2
2023-04-10 00:00:00+00:00,471.6
2023-04-17 00:00:00+00:00,480.6
2023-04-24 00:00:00+00:00,496.6
2023-05-01 00:00:00+00:00,474.6
2023-05-08 00:00:00+00:00,486.2
2023-05-15 00:00:00+00:00,540.4
2023-05-22 00:00:00+00:00,559.4
2023-05-29 00:00:00+00:00,618.6
2023-06-05 00:00:00+00:00,635.8
2023-06-12 00:00:00+00:00,618.8
2023-06-19 00:00:00+00:00,613.8
2023-06-26 00:00:00+00:00,613.0
2023-07-03 00:00:00+00:00,605.8
2023-07-10 00:00:00+00:00,661.4
2020-06-29 00:00:00+00:00,1754.8
2020-07-06 00:00:00+00:00,1811.8
2020-07-13 00:00:00+00:00,1827.0
2020-07-20 00:00:00+00:00,1906.2
2020-07-27 00:00:00+00:00,1975.0
2020-08-03 00:00:00+00:00,1986.0
2020-08-10 00:00:00+00:00,2079.8
2020-08-17 00:00:00+00:00,2150.0
2020-08-24 00:00:00+00:00,2299.0
2020-08-31 00:00:00+00:00,2200.0
2020-09-07 00:00:00+00:00,2129.0
2020-09-14 00:00:00+00:00,2220.0
2020-09-21 00:00:00+00:00,2185.0
2020-09-28 00:00:00+00:00,2218.8
2020-10-05 00:00:00+00:00,2171.8
2020-10-12 00:00:00+00:00,2294.8
2020-10-19 00:00:00+00:00,2228.8
2020-10-26 00:00:00+00:00,2096.0
2020-11-02 00:00:00+00:00,2248.6
2020-11-09 00:00:00+00:00,2220.0
2020-11-16 00:00:00+00:00,2146.0
2020-11-23 00:00:00+00:00,2276.0
2020-11-30 00:00:00+00:00,2146.0
2020-12-07 00:00:00+00:00,2094.8
2020-12-14 00:00:00+00:00,2013.4
2020-12-21 00:00:00+00:00,2024.8
2020-12-28 00:00:00+00:00,1989.0
2021-01-04 00:00:00+00:00,2020.0
2021-01-11 00:00:00+00:00,1955.2
2021-01-18 00:00:00+00:00,1946.0
2021-01-25 00:00:00+00:00,1979.0
2021-02-01 00:00:00+00:00,2042.0
2021-02-08 00:00:00+00:00,1993.4
2021-02-15 00:00:00+00:00,2014.2
2021-02-22 00:00:00+00:00,2012.0
2021-03-01 00:00:00+00:00,1899.6
2021-03-08 00:00:00+00:00,1810.6
2021-03-15 00:00:00+00:00,1799.6
2021-03-22 00:00:00+00:00,1719.0
2021-03-29 00:00:00+00:00,1759.8
2021-04-05 00:00:00+00:00,1717.6
2021-04-12 00:00:00+00:00,1743.0
2021-04-19 00:00:00+00:00,1735.8
2021-04-26 00:00:00+00:00,1683.8
2021-05-03 00:00:00+00:00,1634.6
2021-05-10 00:00:00+00:00,1500.8
2021-05-17 00:00:00+00:00,1526.4
2021-05-24 00:00:00+00:00,1686.8
2021-05-31 00:00:00+00:00,1670.0
2021-06-07 00:00:00+00:00,1636.4
2021-06-14 00:00:00+00:00,1630.4
2021-06-21 00:00:00+00:00,1610.8
2021-06-28 00:00:00+00:00,1661.2
2021-07-05 00:00:00+00:00,1616.0
