Дата,Цена
2026-04-25 00:00:00+00:00,94.185
2026-04-26 00:00:00+00:00,94.135
2026-04-27 00:00:00+00:00,93.31
2026-04-28 00:00:00+00:00,92.64
2026-04-29 00:00:00+00:00,92.86
2026-04-30 00:00:00+00:00,91.3
2026-05-01 00:00:00+00:00,91.295
2026-05-02 00:00:00+00:00,91.295
2026-05-03 00:00:00+00:00,91.03
2026-05-04 00:00:00+00:00,89.91
2026-05-05 00:00:00+00:00,92.1
2026-05-06 00:00:00+00:00,91.92
2026-05-07 00:00:00+00:00,92.495
2026-05-08 00:00:00+00:00,92.35
2026-05-11 00:00:00+00:00,92.795
2026-05-12 00:00:00+00:00,92.995
2024-05-13 00:00:00+00:00,115.5
2024-05-14 00:00:00+00:00,115.3
2024-05-15 00:00:00+00:00,116.025
2024-05-16 00:00:00+00:00,115.95
2024-05-17 00:00:00+00:00,115.375
2024-05-20 00:00:00+00:00,112.875
2024-05-21 00:00:00+00:00,112.45
2024-05-22 00:00:00+00:00,112.5
2024-05-23 00:00:00+00:00,112.6
2024-05-24 00:00:00+00:00,110.05
2024-05-27 00:00:00+00:00,105.1
2024-05-28 00:00:00+00:00,104.275
2024-05-29 00:00:00+00:00,105.05
2024-05-30 00:00:00+00:00,101.05
2024-05-31 00:00:00+00:00,98.825
2024-06-03 00:00:00+00:00,99.425
2024-06-04 00:00:00+00:00,101.85
2024-06-05 00:00:00+00:00,100.35
2024-06-06 00:00:00+00:00,100.15
2024-06-07 00:00:00+00:00,102.0
2024-06-10 00:00:00+00:00,101.7
2024-06-11 00:00:00+00:00,99.1
2024-06-13 00:00:00+00:00,100.825
2024-06-14 00:00:00+00:00,100.6
2024-06-17 00:00:00+00:00,101.975
2024-06-18 00:00:00+00:00,99.375
2024-06-19 00:00:00+00:00,96.225
2024-06-20 00:00:00+00:00,97.925
2024-06-21 00:00:00+00:00,97.3
2024-06-24 00:00:00+00:00,97.725
2024-06-25 00:00:00+00:00,102.35
2024-06-26 00:00:00+00:00,108.25
2024-06-27 00:00:00+00:00,106.3
2024-06-28 00:00:00+00:00,105.7
2024-07-01 00:00:00+00:00,106.55
2024-07-02 00:00:00+00:00,105.05
2024-07-03 00:00:00+00:00,101.825
2024-07-04 00:00:00+00:00,102.525
2024-07-05 00:00:00+00:00,101.35
2024-07-08 00:00:00+00:00,99.65
2024-07-15 00:00:00+00:00,92.95
2024-07-16 00:00:00+00:00,95.32
2024-07-17 00:00:00+00:00,93.72
2024-07-18 00:00:00+00:00,95.89
2024-07-19 00:00:00+00:00,96.33
2024-07-22 00:00:00+00:00,99.75
2024-07-23 00:00:00+00:00,100.75
2024-07-24 00:00:00+00:00,99.9
2024-07-25 00:00:00+00:00,99.2
2024-07-26 00:00:00+00:00,96.73
2024-07-29 00:00:00+00:00,93.4
2024-07-30 00:00:00+00:00,99.09
2024-07-31 00:00:00+00:00,97.82
2024-08-01 00:00:00+00:00,98.13
2024-08-02 00:00:00+00:00,97.69
2024-08-05 00:00:00+00:00,95.36
2024-08-06 00:00:00+00:00,96.21
2024-08-07 00:00:00+00:00,98.35
2024-08-08 00:00:00+00:00,96.85
2024-08-09 00:00:00+00:00,97.09
2024-08-12 00:00:00+00:00,98.03
2024-08-13 00:00:00+00:00,100.69
2024-08-14 00:00:00+00:00,99.81
2024-08-15 00:00:00+00:00,99.28
2024-08-16 00:00:00+00:00,97.85
2024-08-19 00:00:00+00:00,98.78
2024-08-20 00:00:00+00:00,99.47
2024-08-21 00:00:00+00:00,100.19
2024-08-22 00:00:00+00:00,96.64
2024-08-23 00:00:00+00:00,96.47
2024-08-26 00:00:00+00:00,99.09
2024-08-27 00:00:00+00:00,96.88
2024-08-28 00:00:00+00:00,97.02
2024-08-29 00:00:00+00:00,96.02
2024-08-30 00:00:00+00:00,91.48
2024-09-02 00:00:00+00:00,86.1
2024-09-03 00:00:00+00:00,86.23
2024-09-04 00:00:00+00:00,89.03
2024-09-05 00:00:00+00:00,87.2
2024-09-06 00:00:00+00:00,87.3
2024-09-09 00:00:00+00:00,90.9
2024-09-10 00:00:00+00:00,88.89
2024-09-11 00:00:00+00:00,87.2
2024-09-12 00:00:00+00:00,86.2
2024-09-13 00:00:00+00:00,87.14
2024-09-16 00:00:00+00:00,88.62
2024-09-17 00:00:00+00:00,90.1
2024-09-18 00:00:00+00:00,87.93
2024-09-19 00:00:00+00:00,88.53
2024-09-20 00:00:00+00:00,89.35
2024-09-23 00:00:00+00:00,91.96
2024-09-24 00:00:00+00:00,92.65
2024-09-25 00:00:00+00:00,90.83
2024-09-26 00:00:00+00:00,90.76
2024-09-27 00:00:00+00:00,90.57
2024-09-30 00:00:00+00:00,89.03
2024-10-01 00:00:00+00:00,87.52
2024-10-02 00:00:00+00:00,86.16
2024-10-03 00:00:00+00:00,87.23
2024-10-04 00:00:00+00:00,86.63
2024-10-07 00:00:00+00:00,86.43
2024-10-08 00:00:00+00:00,85.85
2024-10-09 00:00:00+00:00,89.79
2024-10-10 00:00:00+00:00,86.16
2024-10-11 00:00:00+00:00,85.61
2024-10-14 00:00:00+00:00,86.7
2024-10-15 00:00:00+00:00,86.67
2024-10-16 00:00:00+00:00,85.82
2024-10-17 00:00:00+00:00,85.09
2024-10-18 00:00:00+00:00,84.84
2024-10-21 00:00:00+00:00,84.71
2024-10-22 00:00:00+00:00,83.58
2024-10-23 00:00:00+00:00,82.22
2024-10-24 00:00:00+00:00,82.64
2024-10-25 00:00:00+00:00,79.89
2024-10-28 00:00:00+00:00,76.2
2024-10-29 00:00:00+00:00,77.45
2024-10-30 00:00:00+00:00,76.19
2024-10-31 00:00:00+00:00,75.25
2024-11-01 00:00:00+00:00,76.62
2024-11-02 00:00:00+00:00,77.12
2024-11-05 00:00:00+00:00,77.38
2024-11-06 00:00:00+00:00,78.32
2024-11-07 00:00:00+00:00,79.1
2024-11-08 00:00:00+00:00,80.2
2024-11-11 00:00:00+00:00,81.58
2024-11-12 00:00:00+00:00,80.68
2024-11-13 00:00:00+00:00,79.41
2024-11-14 00:00:00+00:00,79.19
2024-11-15 00:00:00+00:00,80.59
2024-11-18 00:00:00+00:00,78.95
2024-11-19 00:00:00+00:00,77.06
2024-11-20 00:00:00+00:00,75.64
2024-11-21 00:00:00+00:00,76.3
2024-11-22 00:00:00+00:00,74.05
2024-11-25 00:00:00+00:00,70.11
2024-11-26 00:00:00+00:00,68.23
2024-11-27 00:00:00+00:00,70.02
2024-11-28 00:00:00+00:00,69.28
2024-11-29 00:00:00+00:00,69.5
2024-12-02 00:00:00+00:00,69.27
2024-12-03 00:00:00+00:00,67.28
2024-12-04 00:00:00+00:00,65.38
2024-12-05 00:00:00+00:00,66.95
